,개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명,시도,시군구,시도 시군구
9376,단란주점영업,1,영업,부산광역시 금정구 부곡동 223-56번지,브이팡팡 노래방주점,단란주점,부산광역시,금정구,부산광역시 금정구
9377,단란주점영업,1,영업,부산광역시 금정구 구서동 175-33번지,북소리,단란주점,부산광역시,금정구,부산광역시 금정구
9378,단란주점영업,1,영업,부산광역시 금정구 서동 206-12,쉐라돈단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9379,단란주점영업,1,영업,부산광역시 금정구 장전동 308-4번지,메가톤,단란주점,부산광역시,금정구,부산광역시 금정구
9380,단란주점영업,1,영업,부산광역시 금정구 서동 207-9번지,제우스노래방단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9381,단란주점영업,1,영업,부산광역시 금정구 서동 204-10,별밤7080,단란주점,부산광역시,금정구,부산광역시 금정구
9382,단란주점영업,1,영업,부산광역시 수영구 남천동 3-42번지 (지하1층),유(you)노래방(단란주점),단란주점,부산광역시,수영구,부산광역시 수영구
9383,단란주점영업,1,영업,부산광역시 동래구 사직동 136-3번지,무지개노래주점,단란주점,부산광역시,동래구,부산광역시 동래구
9384,단란주점영업,1,영업,부산광역시 수영구 광안동 50-25번지 1층,퍼니,단란주점,부산광역시,수영구,부산광역시 수영구
9385,단란주점영업,1,영업,부산광역시 금정구 장전동 221-22,오케이(O.K),단란주점,부산광역시,금정구,부산광역시 금정구
9386,단란주점영업,1,영업,부산광역시 수영구 남천동 3-1번지 지하1층,백만불,단란주점,부산광역시,수영구,부산광역시 수영구
9387,단란주점영업,1,영업,부산광역시 수영구 망미동 413-13 2층,깡미,단란주점,부산광역시,수영구,부산광역시 수영구
9388,단란주점영업,1,영업,부산광역시 수영구 광안동 1026-18번지,짱,단란주점,부산광역시,수영구,부산광역시 수영구
9389,단란주점영업,1,영업,부산광역시 남구 대연동 1751-11번지,연예인단란주점,단란주점,부산광역시,남구,부산광역시 남구
9390,단란주점영업,1,영업,부산광역시 남구 대연동 38-10번지,이브,단란주점,부산광역시,남구,부산광역시 남구
9391,단란주점영업,1,영업,부산광역시 남구 용호동 371-27번지,에쿠스,단란주점,부산광역시,남구,부산광역시 남구
9392,단란주점영업,1,영업,부산광역시 남구 대연동 949-8,일번가포장단란주점,단란주점,부산광역시,남구,부산광역시 남구
9393,단란주점영업,1,영업,부산광역시 남구 용호동 533-40번지,부킹,단란주점,부산광역시,남구,부산광역시 남구
9394,단란주점영업,1,영업,부산광역시 남구 용당동 180-6 180-7,찬스,단란주점,부산광역시,남구,부산광역시 남구
9395,단란주점영업,1,영업,부산광역시 남구 용호동 406-9,긴쟈,단란주점,부산광역시,남구,부산광역시 남구
9396,단란주점영업,1,영업,부산광역시 금정구 서동 203-45,언니쓰,단란주점,부산광역시,금정구,부산광역시 금정구
9397,단란주점영업,1,영업,부산광역시 금정구 장전동 111-4번지,파트너,단란주점,부산광역시,금정구,부산광역시 금정구
9398,단란주점영업,1,영업,부산광역시 금정구 장전동 211-6번지,빙고 노래주점,단란주점,부산광역시,금정구,부산광역시 금정구
9399,단란주점영업,1,영업,부산광역시 금정구 장전동 598-8,수광노래타운,단란주점,부산광역시,금정구,부산광역시 금정구
9400,단란주점영업,1,영업,부산광역시 금정구 서동 205-1,뉴코리아,단란주점,부산광역시,금정구,부산광역시 금정구
9401,단란주점영업,1,영업,부산광역시 금정구 서동 203-37번지,파래스,단란주점,부산광역시,금정구,부산광역시 금정구
9402,단란주점영업,1,영업,부산광역시 금정구 구서동 86-36번지 4층,랜슬럿,단란주점,부산광역시,금정구,부산광역시 금정구
9403,단란주점영업,1,영업,부산광역시 금정구 서동 205-11,태양,단란주점,부산광역시,금정구,부산광역시 금정구
