성별,행정구역별,시점,평균시간 (시간)
전체,경기도 화성시,2016,6.5
전체,경기도 화성시,2017,6.5
전체,경기도 화성시,2018,6.7
전체,경기도 화성시,2019,6.6
전체,강원도,2015,6.7
전체,강원도,2016,6.6
전체,강원도,2017,6.6
전체,강원도,2018,6.8
전체,강원도,2019,6.7
전체,강원도 강릉시,2015,6.7
전체,강원도 강릉시,2016,6.7
전체,강원도 강릉시,2017,6.6
전체,강원도 강릉시,2018,6.6
전체,강원도 강릉시,2019,6.7
전체,강원도 고성군,2015,6.7
전체,강원도 고성군,2016,6.6
전체,강원도 고성군,2017,6.6
전체,강원도 고성군,2018,6.9
전체,강원도 고성군,2019,6.8
전체,강원도 동해시,2015,6.7
전체,강원도 동해시,2016,6.8
전체,강원도 동해시,2017,6.7
전체,강원도 동해시,2018,6.7
전체,강원도 동해시,2019,6.7
전체,강원도 삼척시,2015,6.7
전체,강원도 삼척시,2016,6.6
전체,강원도 삼척시,2017,6.7
전체,강원도 삼척시,2018,6.9
전체,강원도 삼척시,2019,6.8
전체,강원도 속초시,2015,6.8
전체,강원도 속초시,2016,6.7
전체,강원도 속초시,2017,6.8
전체,강원도 속초시,2018,6.9
전체,강원도 속초시,2019,6.9
전체,강원도 양구군,2015,6.6
전체,강원도 양구군,2016,6.6
전체,강원도 양구군,2017,6.7
전체,강원도 양구군,2018,7
전체,강원도 양구군,2019,6.6
전체,강원도 양양군,2015,6.6
전체,강원도 양양군,2016,6.7
전체,강원도 양양군,2017,6.6
전체,강원도 양양군,2018,6.6
전체,강원도 양양군,2019,6.6
전체,강원도 영월군,2015,6.6
전체,강원도 영월군,2016,6.5
전체,강원도 영월군,2017,6.6
전체,강원도 영월군,2018,6.9
전체,강원도 영월군,2019,6.7
전체,강원도 원주시,2015,6.6
전체,강원도 원주시,2016,6.6
전체,강원도 원주시,2017,6.5
전체,강원도 원주시,2018,6.8
전체,강원도 원주시,2019,6.7
전체,강원도 인제군,2015,6.6
전체,강원도 인제군,2016,6.7
전체,강원도 인제군,2017,6.7
전체,강원도 인제군,2018,6.8
전체,강원도 인제군,2019,6.8
전체,강원도 정선군,2015,6.6
전체,강원도 정선군,2016,6.6
전체,강원도 정선군,2017,6.6
전체,강원도 정선군,2018,6.9
전체,강원도 정선군,2019,6.6
전체,강원도 철원군,2015,6.6
전체,강원도 철원군,2016,6.7
전체,강원도 철원군,2017,6.5
전체,강원도 철원군,2018,6.8
전체,강원도 철원군,2019,6.7
전체,강원도 춘천시,2015,6.7
전체,강원도 춘천시,2016,6.6
전체,강원도 춘천시,2017,6.5
전체,강원도 춘천시,2018,6.7
전체,강원도 춘천시,2019,6.6
전체,강원도 태백시,2015,6.7
전체,강원도 태백시,2016,6.6
전체,강원도 태백시,2017,6.7
전체,강원도 태백시,2018,6.7
전체,강원도 태백시,2019,6.6
전체,강원도 평창군,2015,6.6
전체,강원도 평창군,2016,6.7
전체,강원도 평창군,2017,6.6
전체,강원도 평창군,2018,6.8
전체,강원도 평창군,2019,6.8
전체,강원도 홍천군,2015,6.7
전체,강원도 홍천군,2016,6.6
전체,강원도 홍천군,2017,6.7
전체,강원도 홍천군,2018,6.7
전체,강원도 홍천군,2019,6.9
전체,강원도 화천군,2015,6.6
전체,강원도 화천군,2016,6.7
전체,강원도 화천군,2017,6.6
전체,강원도 화천군,2018,6.8
전체,강원도 화천군,2019,6.6
전체,강원도 횡성군,2015,6.7
전체,강원도 횡성군,2016,6.7
전체,강원도 횡성군,2017,6.6
전체,강원도 횡성군,2018,6.7
전체,강원도 횡성군,2019,6.7
전체,충청북도,2015,6.6
전체,충청북도,2016,6.6
전체,충청북도,2017,6.6
전체,충청북도,2018,6.7
전체,충청북도,2019,6.7
전체,충청북도 괴산군,2015,6.6
전체,충청북도 괴산군,2016,6.6
전체,충청북도 괴산군,2017,6.6
전체,충청북도 괴산군,2018,6.9
전체,충청북도 괴산군,2019,6.7
전체,충청북도 단양군,2015,6.7
전체,충청북도 단양군,2016,6.6
전체,충청북도 단양군,2017,6.7
전체,충청북도 단양군,2018,6.7
전체,충청북도 단양군,2019,6.6
전체,충청북도 보은군,2015,6.7
전체,충청북도 보은군,2016,6.6
전체,충청북도 보은군,2017,6.7
전체,충청북도 보은군,2018,6.9
전체,충청북도 보은군,2019,6.6
전체,충청북도 영동군,2015,6.8
전체,충청북도 영동군,2016,6.6
전체,충청북도 영동군,2017,6.8
전체,충청북도 영동군,2018,6.8
전체,충청북도 영동군,2019,6.9
전체,충청북도 옥천군,2015,6.7
전체,충청북도 옥천군,2016,6.6
전체,충청북도 옥천군,2017,6.7
전체,충청북도 옥천군,2018,6.7
전체,충청북도 옥천군,2019,6.7
전체,충청북도 음성군,2015,6.7
전체,충청북도 음성군,2016,6.7
전체,충청북도 음성군,2017,6.7
전체,충청북도 음성군,2018,6.8
전체,충청북도 음성군,2019,6.7
전체,충청북도 제천시,2015,6.6
전체,충청북도 제천시,2016,6.6
전체,충청북도 제천시,2017,6.6
전체,충청북도 제천시,2018,6.7
전체,충청북도 제천시,2019,6.6
전체,충청북도 증평군,2015,6.6
전체,충청북도 증평군,2016,6.6
전체,충청북도 증평군,2017,6.6
전체,충청북도 증평군,2018,6.7
전체,충청북도 증평군,2019,6.6
전체,충청북도 진천군,2015,6.7
전체,충청북도 진천군,2016,6.7
전체,충청북도 진천군,2017,6.7
전체,충청북도 진천군,2018,6.8
전체,충청북도 진천군,2019,6.7
전체,충청북도 청원군,2018,0
전체,충청북도 청주시,2018,0
전체,충청북도 충주시,2015,6.6
전체,충청북도 충주시,2016,6.5
전체,충청북도 충주시,2017,6.6
전체,충청북도 충주시,2018,6.7
전체,충청북도 충주시,2019,6.5
전체,충청북도 통합청주시,2015,6.6
전체,충청북도 통합청주시,2016,6.6
전체,충청북도 통합청주시,2017,6.6
전체,충청북도 통합청주시,2018,6.7
전체,충청북도 통합청주시,2019,6.7
전체,충청남도,2015,6.6
