영업상태구분코드,소재지면적,소재지전체주소,사업장명,위생업태명,시도,시군구,시도 시군구
1,96.79,경상북도 영주시 가흥동 1729-4번지 2층,락킹,기타,경상북도,영주시,경상북도 영주시
1,139.79,"경상북도 영주시 영주동 391-2 469-8, 579, 2층",쭉쭉빵빵,기타,경상북도,영주시,경상북도 영주시
1,96.97,경상북도 영주시 영주동 531-13 동진빌딩 지하 101호,레드,기타,경상북도,영주시,경상북도 영주시
1,126.85,경상북도 영주시 휴천동 304-1 (지상2층),보물섬가요주점,기타,경상북도,영주시,경상북도 영주시
1,129.86,경상북도 영주시 휴천동 318-6 외1필지,강남가요주점,기타,경상북도,영주시,경상북도 영주시
1,123.3,경상북도 영주시 휴천동 303-12 (2층),대박가요주점,룸살롱,경상북도,영주시,경상북도 영주시
1,70.01,경상북도 영주시 휴천동 310-30,솜사탕,룸살롱,경상북도,영주시,경상북도 영주시
1,120.22,경상북도 영주시 휴천동 642-270 엘비스,엘비스,기타,경상북도,영주시,경상북도 영주시
1,118.53,경상북도 영주시 휴천동 304-1 (2층),디바,기타,경상북도,영주시,경상북도 영주시
1,124.52,경상북도 영주시 휴천동 301-21 (3층),똥쌍피노래세상,기타,경상북도,영주시,경상북도 영주시
1,128.87,경상북도 영주시 휴천동 308-5 (2층),캔디캔디,룸살롱,경상북도,영주시,경상북도 영주시
